id,X3_12.28_1,X3_12.28_2,X3_12.28_3,X3_1.4_1,X3_1.4_2,X3_1.4_3,X3_1.11_1,X3_1.11_2,X3_1.11_3,X3_1.18_1,X3_1.18_2,X3_1.18_3,X3_1.25_1,X3_1.25_2,X3_1.25_3,X3_2.1_1,X3_2.1_2,X3_2.1_3,X3_3.1_1,X3_3.1_2,X3_3.1_3,X3_3.15_1,X3_3.15_2,X3_3.15_3,X3_3.22_1,X3_3.22_2,X3_3.22_3
Euk_1567,7,3008,57,71,90,63,2093,1717,1818,3967,6853,3748,7620,6741,9903,194,3630,922,1914,153,1358,26424,26927,26031,27218,27133,27280
Euk_1078,320,10872,1847,3708,3927,4171,5647,1710,3227,12695,8914,11075,10952,2613,1620,13554,3804,3380,3347,5517,1322,132,105,41,73,219,61
Euk_4,2209,631,117,23,1946,1,2280,520,1448,2637,4239,2359,1129,4764,3017,4787,7376,3560,6239,6626,6385,580,609,263,88,121,117
Euk_255,10235,3506,10244,155,1567,0,0,359,1929,37,0,152,0,263,350,416,0,1754,4062,853,3106,0,0,32,0,1,0
Euk_11,0,0,0,0,0,1,0,12008,1532,0,0,1026,0,0,0,0,0,11714,0,0,0,0,0,0,0,0,0
Euk_6,412,2,10050,1367,1174,0,306,838,0,1031,299,588,701,294,0,237,3637,1367,623,987,1800,0,0,0,0,0,0
Euk_1290,367,16,89,2094,2246,896,1353,9,0,59,649,200,909,352,3913,336,3423,16,273,562,884,0,0,0,5,0,1
Euk_492,453,0,4306,715,53,4716,0,1043,0,0,530,428,554,474,0,0,634,1022,119,1795,1299,39,0,0,11,0,0
Euk_771,517,0,0,1392,907,7523,901,689,301,1,7,605,0,761,0,0,0,0,381,839,635,0,0,0,29,0,0
Euk_1267,502,4585,0,11,1386,1,549,719,1631,542,143,104,0,14,0,113,151,172,295,0,13,0,0,852,0,7,0
Euk_345,348,4624,0,725,243,893,101,1648,0,556,0,271,0,129,541,0,0,0,112,839,0,0,0,0,4,0,0
Euk_15,122,1,0,2,1463,0,2619,3,2,10,291,41,19,843,824,2649,6,0,752,687,94,63,49,52,80,55,49
Euk_65,741,0,0,1044,1251,69,186,6,1249,0,42,675,0,634,1464,1742,0,0,103,273,203,0,0,0,1,0,0
Euk_8,311,0,236,0,858,0,595,1090,2761,1117,947,0,710,172,0,5,4,65,226,73,233,0,0,0,0,0,0
Euk_1556,3,94,7,1,48,3,141,62,55,146,254,145,260,239,299,82,150,28,79,30,30,797,878,825,969,844,903
Euk_19,383,0,0,3710,1041,0,388,88,489,0,0,185,0,14,0,0,0,0,137,0,263,0,0,0,0,0,0
Euk_1595,12,0,0,0,132,0,1246,163,0,0,0,0,0,111,4683,0,0,0,175,0,52,0,0,0,0,0,0
Euk_256,0,0,0,374,245,1,1339,561,886,755,587,0,0,375,0,0,0,144,209,85,336,0,0,0,0,11,0
Euk_12,178,0,0,0,0,556,1520,0,1568,429,0,151,0,144,0,0,0,0,486,0,175,0,0,0,3,0,0
Euk_516,299,0,0,511,3,0,1990,1,0,4,0,0,0,81,1,0,0,1856,0,430,1,0,0,0,0,0,0
Euk_206,11,1,0,1,473,66,0,317,2149,0,0,297,969,0,0,0,0,0,279,0,206,0,0,0,0,0,3
Euk_1222,74,4,0,2495,337,2,388,3,6,2,363,2,1,383,0,0,0,0,123,457,0,0,0,1,0,0,0
Euk_1649,23,358,64,115,235,128,185,77,125,504,290,414,393,139,55,548,131,106,213,331,65,2,3,2,3,14,0
Euk_1379,209,32,5,0,168,0,123,35,89,160,217,168,63,405,170,309,417,210,505,553,436,34,40,24,4,8,9
Euk_1526,5,362,70,107,151,153,168,68,109,438,342,444,407,118,54,438,155,129,130,304,89,8,4,1,6,13,5
Euk_115,14,0,14,2191,476,1,1092,1,0,3,0,0,1,7,0,1,5,2,89,21,38,0,0,0,0,0,0
Euk_1625,129,0,449,331,343,51,177,80,18,59,62,108,123,178,248,59,488,56,119,164,427,8,0,0,5,1,2
Euk_356,1,0,1,4,348,0,0,0,4,324,0,1,257,68,4,5,0,1247,337,477,376,26,0,0,0,60,0
Euk_1523,0,41,0,0,19,0,42,21,10,51,77,44,88,118,109,20,32,9,40,10,22,274,290,257,354,253,311
Euk_64,13,0,0,0,1,0,0,0,2196,0,0,0,0,692,0,0,0,1,142,0,0,0,0,0,0,0,0
Euk_1652,917,179,556,12,143,0,0,29,93,2,0,7,0,27,26,23,0,88,361,84,315,0,0,0,0,0,0
Euk_1280,2,0,0,0,1,2298,0,0,3,0,0,0,0,14,0,0,109,0,218,2,6,0,0,0,0,0,0
Euk_1646,96,172,0,303,316,378,167,119,277,72,67,75,48,199,0,6,6,10,169,168,113,0,0,34,4,1,1
Euk_1212,95,29,5,2,75,0,92,23,62,99,177,113,41,223,126,189,302,150,331,351,298,26,24,8,6,5,5
Euk_346,1059,8,19,1,2,0,0,101,2,0,0,0,0,2,0,1333,0,5,10,4,51,0,0,0,0,0,0
Euk_24,0,1,0,0,0,1,0,0,524,10,0,0,0,1,0,387,0,0,225,378,215,356,143,129,34,59,49
Euk_39,2,0,0,93,57,1087,58,99,0,5,0,0,41,25,0,0,796,0,18,61,11,0,0,0,0,0,0
Euk_1,0,19,0,0,1,0,12,11,14,22,54,29,42,179,64,1,27,5,17,1,8,183,198,179,208,233,267
Euk_3,149,0,0,0,0,0,0,0,0,0,0,0,0,163,0,149,0,512,808,147,409,0,0,0,5,17,28
Euk_72,5,191,40,74,74,70,119,64,66,271,182,202,262,48,26,303,76,59,66,95,30,2,0,1,2,8,1
Euk_179,199,0,0,0,5,0,0,0,47,0,836,1037,0,87,0,0,0,13,1,1,0,0,0,0,0,0,0
Euk_26,0,0,0,1647,256,0,1,1,8,0,0,0,0,136,0,0,0,0,3,1,2,0,0,0,0,0,0
Euk_63,3,0,0,0,149,0,0,8,249,312,816,0,0,53,0,298,0,0,88,5,99,0,0,0,0,0,0
Euk_82,0,0,0,1462,58,0,0,8,0,0,18,0,0,4,0,0,0,0,1,3,1,0,0,0,0,0,0
Euk_61,209,0,0,0,1,39,0,0,77,0,1,0,8,169,1,0,0,3,311,0,566,0,0,0,0,1,0
Euk_637,851,0,0,0,0,0,0,116,0,0,0,0,0,234,0,0,0,1,47,0,0,0,0,0,4,0,0
Euk_71,0,0,0,0,3,0,20,0,691,3,0,282,0,25,0,63,1,0,1,14,5,0,0,0,0,0,0
Euk_203,10,1,0,10,80,0,624,0,3,0,0,0,0,53,0,2,0,52,243,8,0,0,0,0,0,0,0
Euk_1640,27,0,21,0,110,0,54,117,276,121,88,0,73,24,0,0,0,6,33,10,42,0,0,0,0,0,0
Euk_124,47,0,0,0,157,0,442,99,57,0,0,0,0,0,0,0,0,0,0,136,51,0,0,0,0,3,0
Euk_417,50,0,1,2,12,4,0,0,0,0,9,0,0,2,0,0,1,0,1,505,368,0,3,0,2,0,0
Euk_194,92,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,292,0,99,74,333,0,0,0,0,4,0
Euk_1461,5,1,45,20,489,1,30,6,9,11,3,3,2,191,0,2,17,2,4,4,7,0,0,0,0,0,0
Euk_241,27,0,0,9,45,305,74,13,24,1,3,79,2,32,0,0,0,1,35,20,19,0,0,0,2,0,0
Euk_751,0,0,0,67,51,0,0,65,65,60,367,0,46,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Euk_251,39,0,0,9,231,0,0,0,1,0,317,1,0,18,0,1,0,0,42,20,0,0,0,0,0,3,0
Euk_141,0,0,0,0,0,0,2,0,0,0,2,1,0,498,0,0,0,0,0,4,63,0,1,0,1,0,1
Euk_41,1,0,0,14,11,0,1,2,165,0,0,1,0,2,0,403,0,0,1,0,8,0,0,0,0,0,0
Euk_5,268,19,78,0,7,0,0,4,14,0,0,4,0,1,0,3,0,9,87,9,20,0,0,0,0,0,0
Euk_296,2,0,0,0,0,0,1,1,0,355,133,0,0,24,1,0,0,0,3,0,0,0,0,1,0,0,0
Euk_594,0,0,0,6,8,5,1,0,0,0,0,2,0,9,0,0,0,0,7,9,293,0,0,0,0,0,0
Pro_1,1033,2089,2189,2192,1443,2306,2679,1668,2799,1378,2423,2239,2093,1289,2524,2822,1166,2685,2223,4076,3827,3213,1962,3997,3484,2245,3035
Pro_13029,1090,2108,1793,2013,1975,1983,1938,2280,2007,908,1978,1853,1729,1782,1767,2244,2588,2219,1149,2167,2173,1186,1027,1663,1513,1635,1062
Pro_3,810,1405,1666,1990,1287,2012,1630,1106,1895,1184,2039,1755,1465,774,1374,1966,1010,1869,1221,1568,2138,2502,1403,1552,1357,1158,2538
Pro_4,2628,2678,3833,2795,2346,2815,3155,2799,3191,1002,1212,3918,742,1415,2090,959,907,768,123,213,236,289,340,639,467,166,155
Pro_827,3539,2058,1698,1586,2227,1517,1415,1691,1309,2188,1158,1156,1471,2952,1660,1048,1707,1403,822,581,404,292,575,456,506,522,266
Pro_12295,339,553,558,619,449,633,825,1235,713,342,629,671,817,492,776,1041,1720,884,507,808,916,867,599,1233,1215,1783,822
Pro_15,1237,770,747,483,696,511,302,300,346,637,316,309,739,885,721,939,819,918,462,318,306,937,1180,1031,1024,986,812
Pro_8946,159,296,301,462,277,505,461,282,504,421,762,802,633,417,690,890,446,885,725,1029,1268,948,581,847,833,588,1294
Pro_11207,1364,773,668,640,1097,772,544,991,646,1082,554,446,679,827,619,561,918,563,417,213,197,368,572,477,467,664,374
Pro_198,260,471,496,465,381,531,669,1276,646,250,538,549,687,410,600,835,1527,761,287,489,474,451,278,559,523,833,376
